,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.41,0.98,0.53,0.56,0.52,0.68,0.48,0.17,0.55,0.43,0.27,0.47,0.47
bdbbasic.csv,0.05,0.72,0.54,0.62,0.91,0.62,0.64,0.21,0.6,0.39,0.44,0.7,0.44
foursquared.csv,0.0,0.1,0.5,0.98,0.31,0.08,0.15,0.12,0.42,0.0,0.19,0.1,0.0
impala.csv,0.73,0.63,0.47,0.41,0.25,0.68,0.42,0.91,0.46,0.25,0.2,0.52,0.39
jicarilla.csv,0.99,0.02,0.06,0.0,0.13,0.27,0.05,0.07,0.03,0.22,0.0,0.14,0.06
ng4j.csv,0.14,0.58,0.47,0.63,0.58,0.6,0.48,0.14,0.57,0.33,0.48,0.64,0.97
open-data-kit.csv,0.17,0.07,0.53,0.52,0.08,1.0,0.5,0.15,0.57,0.44,0.39,0.43,0.46
pentahoanalysistool.csv,0.47,0.65,0.98,0.47,0.48,0.36,0.42,0.08,0.57,0.22,0.31,0.78,0.31
tradelink.csv,0.0,0.55,0.27,0.41,0.53,0.22,0.15,0.12,0.39,0.11,0.94,0.19,0.26
turbotrader-bos.csv,0.05,0.64,0.34,0.48,0.49,0.4,0.32,0.29,0.97,0.39,0.26,0.44,0.44
ultimairis.csv,0.48,0.42,0.44,0.32,0.37,0.54,0.51,0.24,0.52,0.97,0.32,0.74,0.31
wikipediardware.csv,0.66,0.79,0.48,0.53,0.48,0.73,0.6,0.2,0.51,0.44,0.3,0.99,0.43
yafdotnet.csv,0.0,0.8,0.32,0.33,0.37,0.39,0.96,0.2,0.54,0.51,0.36,0.52,0.41
