,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.25,0.36,0.26,0.39,0.11,0.24,0.15,0.62,0.0,0.0,0.27,0.35,0.58,0.28
continuum-ide.csv,0.08,0.36,0.06,0.12,0.08,0.07,0.05,0.0,0.0,0.04,0.18,0.14,0.16,0.12
free-evolution.csv,0.2,0.73,0.19,0.51,0.61,0.04,0.5,0.46,0.07,0.06,0.0,0.17,0.0,0.6
gtad.csv,0.0,0.0,0.0,0.07,0.02,0.1,0.0,0.13,0.0,0.02,0.03,0.11,0.0,0.0
jaxen.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.18,0.0,0.0
jruby.csv,0.27,0.09,0.18,0.38,0.18,0.12,0.15,0.77,0.0,0.22,0.39,0.38,0.05,0.28
jsr308-langtools.csv,0.41,0.18,0.22,0.48,0.11,0.35,0.0,0.72,0.32,0.18,0.43,0.51,0.63,0.28
kaffeine.csv,0.96,0.0,0.65,1.0,0.74,0.5,0.5,1.0,1.0,0.55,0.96,0.64,0.95,0.96
oorexx.csv,0.54,0.18,0.6,0.5,0.75,0.41,0.6,0.64,0.43,0.37,0.6,0.31,0.74,0.04
qedo.csv,0.2,0.09,0.08,0.13,0.03,0.02,0.15,0.03,0.0,0.0,0.25,0.0,0.0,0.12
sarasvati.csv,0.21,0.91,0.0,0.34,0.33,0.02,0.25,0.18,0.02,0.02,0.27,0.06,0.11,0.4
taokgame.csv,0.0,0.0,0.05,0.0,0.62,0.24,0.05,0.0,0.0,0.51,0.0,0.23,0.0,0.0
zabbix.csv,0.8,0.64,0.75,0.51,0.82,0.44,0.7,0.72,0.0,0.65,0.84,0.83,0.79,0.88
