,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.78,0.75,0.58,0.49,0.75,0.52,0.36,0.33,0.75,0.67,0.75,0.45,0.43,0.87
continuum-ide.csv,0.83,0.83,0.9,0.9,0.83,0.88,0.54,0.59,0.0,0.67,0.96,0.97,0.94,0.8
free-evolution.csv,0.93,0.79,0.97,0.6,0.54,0.75,0.73,0.62,0.96,0.75,0.84,0.98,0.86,0.53
gtad.csv,0.5,0.67,0.67,0.83,0.0,0.82,0.5,0.8,0.0,0.5,0.83,0.96,0.88,0.5
jaxen.csv,0.0,0.0,0.67,0.0,0.0,0.8,0.8,0.75,0.0,0.0,0.0,0.74,0.75,0.0
jruby.csv,0.62,0.71,0.97,0.58,0.67,0.91,0.6,0.28,0.0,0.8,0.58,0.42,0.48,0.92
jsr308-langtools.csv,0.43,0.39,0.56,0.41,0.88,0.42,0.38,0.29,0.58,0.58,0.5,0.34,0.42,0.61
kaffeine.csv,0.36,0.4,0.44,0.37,0.35,0.42,0.34,0.32,0.36,0.4,0.47,0.32,0.45,0.38
oorexx.csv,0.54,0.48,0.5,0.5,0.43,0.49,0.47,0.35,0.53,0.55,0.52,0.59,0.56,0.49
qedo.csv,0.93,0.86,0.92,0.91,0.5,0.5,0.67,0.5,0.75,0.0,0.97,0.95,0.0,0.86
sarasvati.csv,0.87,0.59,0.89,0.77,0.9,0.67,0.62,0.9,0.91,0.5,0.78,0.93,0.76,0.59
taokgame.csv,0.0,0.0,0.89,0.9,0.61,0.95,0.67,0.0,0.0,0.87,0.0,0.98,0.0,0.0
zabbix.csv,0.37,0.45,0.48,0.57,0.45,0.45,0.47,0.33,0.69,0.54,0.47,0.43,0.48,0.41
