,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.92,0.98,0.56,0.77,0.85,0.94,0.57,0.97,0.86,0.86,0.9,0.74,0.9,0.98,0.88
aufs.csv,0.49,0.34,0.04,0.68,0.18,0.44,0.77,0.21,0.59,0.38,0.71,0.72,0.2,0.6,0.14
bulmages.csv,0.0,0.19,0.07,0.84,0.31,0.12,0.1,0.0,0.0,0.76,0.63,0.0,0.68,0.05,0.0
coot.csv,0.03,0.4,0.48,1.0,0.56,0.5,0.57,0.42,0.43,0.52,0.7,0.69,0.7,0.55,0.54
emono.csv,0.46,0.81,0.26,0.77,0.54,0.88,0.76,0.58,0.84,0.86,0.78,0.9,0.78,0.81,0.65
extprosys.csv,0.97,0.64,1.0,0.32,0.87,0.69,0.77,0.76,0.05,0.76,0.9,0.64,0.3,0.85,0.42
freelords.csv,0.76,0.23,1.0,0.68,0.97,0.88,0.72,0.95,0.68,0.62,0.79,0.46,0.72,0.52,0.62
jnode.csv,0.27,0.04,0.07,0.16,0.03,0.81,0.04,0.24,0.0,0.19,0.0,0.03,0.57,0.04,0.04
jruby.csv,0.59,0.02,0.85,0.98,0.67,0.88,0.32,0.5,1.0,0.86,0.74,0.95,0.02,0.72,0.19
jsecurity.csv,0.22,0.25,0.15,0.05,0.72,0.81,0.2,0.24,0.14,0.24,0.23,0.15,0.7,0.27,0.48
matrex.csv,0.41,0.06,0.11,0.55,0.05,0.25,0.04,0.45,0.16,0.0,0.82,0.21,0.05,0.14,0.14
officefloor.csv,0.57,0.3,0.22,0.07,0.15,0.62,0.09,0.63,0.54,0.29,0.41,0.38,0.38,0.44,0.42
projectfactory.csv,0.65,0.38,0.67,0.11,0.49,0.81,0.57,0.63,0.62,0.57,0.56,0.62,0.72,0.5,0.49
taverna.csv,0.38,0.13,0.78,0.14,0.15,0.31,0.2,0.0,0.11,0.29,0.08,0.69,0.62,0.15,0.39
vxl.csv,0.51,0.89,0.33,0.3,0.72,0.5,0.57,0.84,1.0,0.81,0.93,0.54,0.38,0.89,0.57
