,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,482.5,198.0,97.5,98.5,99.0,1930.0,98.5,44621.5,99.0,1855.5,99.0,99.0,97.5,98.5,97.5
aufs.csv,694.0,197.5,182.5,95.5,488.5,1064.0,98.5,24845.0,190.0,1588.0,1650.0,187.0,279.5,98.5,94.5
bulmages.csv,0.0,98.5,394.0,98.5,99.0,1405.5,82.5,3497.0,0.0,1109.5,185.0,0.0,97.5,73.5,0.0
coot.csv,81.0,99.0,400.5,98.5,99.0,1396.0,98.5,37612.5,193.0,838.0,1740.5,99.0,97.5,98.5,389.5
emono.csv,289.5,198.0,331.5,95.5,99.0,3890.0,98.5,41297.5,99.0,1926.0,99.0,99.0,97.5,98.5,295.0
extprosys.csv,482.5,193.0,97.5,98.5,99.0,1930.0,98.5,23092.5,72.5,1483.5,99.0,195.5,351.0,99.0,95.5
freelords.csv,386.0,189.0,97.5,98.5,99.0,1831.5,98.5,33533.5,292.0,1211.0,1024.5,99.0,97.5,99.0,295.0
jnode.csv,193.0,70.5,149.5,98.5,54.5,1854.0,76.5,9027.5,80.0,597.0,0.0,96.5,97.5,74.5,90.5
jruby.csv,482.5,89.5,97.5,98.5,390.0,1832.5,98.5,15135.0,99.0,2011.5,99.0,99.0,77.5,98.5,94.5
jsecurity.csv,386.0,189.0,97.5,92.5,96.5,1735.0,91.5,11575.0,193.0,329.0,294.5,96.5,97.5,97.5,196.5
matrex.csv,385.0,89.5,214.5,98.5,288.0,2179.0,80.5,3329.0,94.5,0.0,86.5,187.0,88.5,97.5,95.5
officefloor.csv,289.5,190.5,866.0,53.5,59.5,1642.5,84.5,16597.0,94.5,1370.0,97.5,99.0,183.0,97.5,95.5
projectfactory.csv,1631.0,99.0,97.5,95.5,99.0,1737.0,96.5,25028.0,99.0,1416.0,99.0,99.0,95.5,97.5,97.5
taverna.csv,386.0,189.0,97.5,330.5,194.0,349.0,94.5,1840.0,211.5,311.0,85.5,195.5,97.5,97.5,295.0
vxl.csv,349.0,198.0,97.5,98.5,1821.0,1161.5,98.5,29177.5,99.0,1397.0,294.5,195.5,187.0,99.0,192.0
