,playerstage.csv,aubit4gl.csv,massiv.csv,bibedt.csv,customwars.csv,quarkplusplus.csv,impala.csv,xinity.csv
aubit4gl.csv,0.34,0.67,0.0,0.0,0.19,0.28,0.14,0.64
bibedt.csv,0.73,0.4,0.01,0.64,0.15,0.5,0.06,0.62
customwars.csv,0.48,0.62,0.0,0.28,0.2,0.55,0.13,0.57
impala.csv,0.38,0.5,0.01,0.22,0.31,0.31,0.25,0.54
massiv.csv,0.0,0.0,0.21,0.0,0.38,0.0,0.09,0.71
playerstage.csv,0.68,0.37,0.01,0.5,0.15,0.47,0.1,0.61
quarkplusplus.csv,0.65,0.27,0.02,0.29,0.23,0.6,0.06,0.67
xinity.csv,0.26,0.52,0.01,0.16,0.12,0.37,0.14,0.71
