,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.19,0.47,0.17,0.44,0.37,0.17,0.23,0.23,0.57,0.26,0.19,0.33,0.0,0.21,0.52,0.39,0.15
arm-webradio.csv,0.05,0.07,0.1,0.3,0.34,0.16,0.02,0.0,0.38,0.29,0.14,0.23,0.29,0.42,0.12,0.47,0.01
bwapi.csv,0.1,0.64,0.78,0.51,0.57,0.86,0.71,0.26,0.26,0.28,0.58,0.6,0.64,0.32,0.39,0.03,0.39
co-ode-owl-plugins.csv,0.29,0.36,0.21,0.14,0.54,0.21,0.0,0.0,0.4,0.6,0.2,0.1,0.44,0.77,0.24,1.0,0.36
firebreath.csv,0.76,0.4,0.6,0.54,0.34,0.03,0.4,0.61,0.53,0.56,0.47,0.93,0.84,0.86,0.52,0.5,0.77
frogatto.csv,0.05,0.95,0.47,0.19,0.31,0.27,0.48,0.24,0.29,0.22,0.59,1.0,0.89,0.31,0.03,0.56,0.99
gretl.csv,0.57,0.56,0.76,0.77,0.71,0.81,0.54,0.68,0.81,0.81,0.56,0.03,0.44,0.3,0.61,0.75,0.36
jasperreports.csv,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
konversation.csv,0.0,0.27,0.0,0.02,0.03,0.0,0.06,0.02,0.0,0.04,0.07,0.37,0.44,0.02,0.18,0.0,0.11
linuxsh.csv,0.1,0.04,0.11,0.12,0.4,0.15,0.04,0.11,0.58,0.39,0.05,0.13,0.22,0.33,0.39,0.39,0.05
moviesandbox.csv,0.05,0.07,0.14,0.08,0.03,0.14,0.06,0.04,0.13,0.25,0.03,0.47,0.25,0.11,0.09,0.08,0.16
ontomorphtab.csv,0.0,0.82,0.8,0.65,0.83,0.28,0.83,0.82,0.56,0.82,0.76,0.7,0.82,0.56,0.85,0.58,0.82
opengs.csv,0.24,0.11,0.02,0.07,0.03,0.08,0.12,0.18,0.01,0.32,0.02,0.13,0.22,0.23,0.0,0.0,0.16
scite-ru.csv,0.81,0.16,0.73,0.78,0.6,0.73,0.02,0.62,0.64,0.97,0.95,0.2,0.29,0.82,0.85,0.28,0.55
tokratan.csv,0.0,0.09,0.1,0.04,0.14,0.02,0.06,0.03,0.0,0.0,0.08,0.03,0.16,0.16,0.15,0.0,0.1
vrjuggler.csv,0.76,0.04,0.44,0.43,0.37,0.3,0.37,0.82,0.25,0.27,0.02,0.3,0.07,0.19,0.61,0.22,0.01
xuggle.csv,0.86,0.44,0.12,0.0,0.06,0.2,0.19,0.77,0.68,0.85,0.14,0.23,0.67,0.81,0.18,0.39,0.12
