,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.26,0.45,0.33,0.54,0.57,0.18,0.24,0.11,0.76,0.33,0.06,0.5,0.95,0.27,0.72,0.27,0.51
arm-webradio.csv,0.31,0.55,0.67,0.59,0.68,0.37,0.14,0.11,0.43,0.53,0.0,0.31,0.22,1.0,0.42,0.3,1.0
bwapi.csv,0.57,0.55,1.0,0.87,0.77,0.87,0.71,0.17,0.44,0.47,0.44,0.78,0.72,0.96,0.61,0.99,0.69
co-ode-owl-plugins.csv,0.37,0.55,0.42,0.17,0.82,0.15,0.0,0.83,0.56,0.53,0.12,0.24,0.45,0.58,0.47,0.93,0.94
firebreath.csv,0.66,0.55,0.92,0.72,0.82,0.98,0.52,0.72,0.43,0.73,0.62,0.92,0.91,0.96,0.58,0.6,0.94
frogatto.csv,0.31,0.82,0.83,0.52,0.64,0.42,0.67,0.22,0.46,0.33,0.5,0.94,0.88,0.88,1.0,0.25,0.97
gretl.csv,0.77,0.55,1.0,0.83,0.82,0.85,0.71,0.78,0.81,0.87,0.69,1.0,0.5,0.96,0.78,0.65,0.57
jasperreports.csv,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,0.01,0.0
konversation.csv,0.06,0.27,0.92,0.13,0.2,0.03,0.1,0.06,0.07,0.0,0.0,0.3,0.33,0.35,0.22,0.06,0.57
linuxsh.csv,0.26,0.91,0.5,0.43,0.68,0.37,0.0,0.17,0.83,0.4,0.06,0.2,0.11,0.31,0.67,0.36,0.54
moviesandbox.csv,0.31,0.27,0.67,0.2,0.89,0.32,0.1,0.06,0.35,0.47,0.06,0.4,0.19,0.58,0.33,0.27,0.34
ontomorphtab.csv,1.0,0.91,0.92,0.89,0.91,0.4,0.9,0.72,0.78,0.87,0.81,0.84,0.85,0.73,0.92,0.55,0.77
opengs.csv,0.14,0.0,0.0,0.22,0.09,0.12,0.0,0.17,0.98,0.13,0.06,0.35,0.31,0.54,0.14,0.02,0.46
scite-ru.csv,0.86,0.36,0.83,0.78,0.8,0.72,0.76,0.89,0.85,1.0,0.94,0.34,0.27,0.73,0.83,0.39,0.97
tokratan.csv,0.09,0.0,0.5,0.26,0.2,0.03,0.05,0.0,0.02,0.8,0.0,0.12,0.14,0.12,0.14,0.17,0.0
vrjuggler.csv,0.8,0.0,0.67,0.39,0.52,0.35,0.38,0.94,0.28,0.53,0.94,0.19,0.16,0.23,0.64,0.16,0.17
xuggle.csv,0.63,0.73,0.08,0.87,0.14,0.42,0.19,0.83,0.87,0.67,0.12,0.44,0.65,0.54,0.17,0.13,0.06
