,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.3,0.46,0.38,0.54,0.58,0.21,0.28,0.13,0.66,0.37,0.07,0.53,0.96,0.31,0.65,0.3,0.55
arm-webradio.csv,0.36,0.6,0.71,0.61,0.68,0.42,0.17,0.13,0.46,0.56,0.0,0.35,0.26,0.87,0.47,0.33,1.0
bwapi.csv,0.62,0.5,0.59,0.75,0.66,0.43,0.55,0.2,0.48,0.51,0.44,0.66,0.6,0.89,0.61,0.99,0.67
co-ode-owl-plugins.csv,0.41,0.57,0.46,0.2,0.71,0.18,0.0,0.86,0.57,0.5,0.14,0.28,0.47,0.44,0.51,0.0,0.86
firebreath.csv,0.49,0.56,0.73,0.65,0.78,0.98,0.53,0.62,0.44,0.64,0.6,0.27,0.47,0.44,0.56,0.58,0.58
frogatto.csv,0.36,0.2,0.75,0.56,0.65,0.46,0.63,0.26,0.49,0.37,0.48,0.0,0.37,0.83,0.99,0.27,0.05
gretl.csv,0.66,0.52,0.61,0.55,0.6,0.5,0.64,0.61,0.49,0.51,0.62,0.99,0.51,0.89,0.65,0.49,0.58
jasperreports.csv,0.07,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.9,0.0,0.01,0.0
konversation.csv,0.07,0.31,0.93,0.16,0.24,0.04,0.12,0.07,0.09,0.0,0.0,0.34,0.36,0.4,0.26,0.07,0.61
linuxsh.csv,0.3,0.92,0.55,0.48,0.66,0.42,0.0,0.2,0.69,0.43,0.07,0.24,0.13,0.35,0.66,0.39,0.59
moviesandbox.csv,0.36,0.31,0.7,0.24,0.9,0.37,0.12,0.07,0.4,0.51,0.07,0.42,0.22,0.62,0.38,0.31,0.39
ontomorphtab.csv,1.0,0.5,0.53,0.68,0.49,0.44,0.48,0.45,0.68,0.49,0.55,0.62,0.49,0.64,0.45,0.52,0.47
opengs.csv,0.17,0.0,0.0,0.26,0.11,0.15,0.0,0.2,0.98,0.16,0.07,0.4,0.35,0.57,0.17,0.02,0.51
scite-ru.csv,0.5,0.41,0.59,0.52,0.67,0.54,0.8,0.7,0.67,0.13,0.21,0.38,0.31,0.45,0.44,0.43,0.79
tokratan.csv,0.11,0.0,0.55,0.3,0.24,0.04,0.06,0.0,0.02,0.83,0.0,0.15,0.17,0.14,0.17,0.2,0.0
vrjuggler.csv,0.55,0.0,0.64,0.42,0.54,0.39,0.41,0.51,0.32,0.56,0.95,0.22,0.19,0.27,0.57,0.19,0.2
xuggle.csv,0.37,0.69,0.1,0.89,0.17,0.46,0.22,0.55,0.65,0.4,0.14,0.48,0.54,0.39,0.2,0.15,0.07
