,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.29,1.0,0.18,0.73,0.73,0.87,0.42,0.36,0.75,0.0,0.73
ivatamasks.csv,0.29,1.0,0.11,0.87,0.62,0.83,0.35,0.25,0.71,0.57,0.74
java-gnome.csv,0.76,1.0,0.12,0.88,0.62,1.0,0.47,0.18,0.93,0.57,0.74
orc.csv,0.05,1.0,0.3,0.76,0.5,0.89,0.34,0.24,0.5,1.0,0.82
plato.csv,0.29,0.99,0.09,0.74,0.68,0.95,0.4,0.21,0.89,0.56,0.73
rodin-b-sharp.csv,0.77,0.98,0.38,0.59,0.73,0.88,0.72,0.11,0.88,0.0,0.86
tycho.csv,0.1,0.99,0.15,0.67,0.7,0.93,0.26,0.3,0.78,0.81,0.7
umber.csv,0.71,0.98,0.1,0.69,0.63,0.84,0.39,0.17,0.79,0.33,0.83
unicase.csv,0.5,0.99,0.09,0.67,0.59,0.88,0.48,0.26,0.83,0.47,0.84
vienna-add-in.csv,0.38,0.97,0.09,0.69,0.87,0.88,0.35,0.15,0.91,0.59,0.67
wpdev.csv,0.26,1.0,0.1,0.68,0.66,0.84,0.36,0.15,0.77,0.56,0.73
