,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.05,1.0,0.02,0.41,0.55,0.19,0.0,0.26,0.13,0.39,0.65,0.36,0.31,0.05,0.68,0.18,0.09,0.33,0.32
bulmages.csv,0.05,0.0,0.02,0.09,0.1,0.07,0.06,0.0,0.01,0.17,0.13,0.0,0.0,0.05,0.01,0.08,0.25,0.18,0.08
forester-atv.csv,0.04,0.5,0.08,0.04,0.0,0.13,0.04,0.04,0.07,0.09,0.13,0.05,0.23,0.12,0.09,0.04,0.08,0.07,0.0
google-collections.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0
hannosset.csv,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.13,0.01,0.0,0.0,0.0,0.08,0.0,0.07,0.03
jbpm.csv,0.53,0.5,0.0,0.22,0.32,0.01,0.04,0.13,0.0,0.37,0.13,0.2,0.15,0.02,0.19,0.27,0.11,0.01,0.21
mevenide.csv,0.01,0.0,0.0,0.15,0.35,0.09,0.04,0.13,0.13,0.07,0.09,0.0,0.23,0.28,0.06,0.06,0.02,0.0,0.19
nassp.csv,0.04,0.0,0.43,0.28,0.65,0.36,0.14,0.35,0.53,0.0,0.09,0.04,0.46,0.42,0.26,0.2,0.19,0.18,0.19
open-media-library.csv,0.62,0.0,0.97,0.0,0.6,0.42,0.28,0.43,0.33,0.41,0.39,0.68,0.46,0.44,0.67,0.24,0.57,0.31,0.53
opendvr.csv,0.52,1.0,0.92,0.59,0.55,0.64,0.32,0.22,0.63,0.43,0.83,0.39,0.54,0.67,0.46,0.59,0.0,0.36,0.48
openefm.csv,0.27,1.0,0.2,0.5,0.3,0.01,0.14,0.09,0.14,0.37,0.17,0.3,0.23,0.16,0.3,0.39,0.23,0.14,0.44
oppna-program-hsatools.csv,0.89,0.5,1.0,0.8,1.0,0.91,1.0,0.91,0.97,0.96,0.0,0.96,0.54,0.95,0.93,0.63,0.94,0.95,0.95
paintown.csv,0.0,0.0,0.16,0.5,0.57,0.75,0.43,0.52,0.62,0.52,0.3,0.52,0.46,0.56,0.62,0.41,0.23,0.65,0.63
projectfactory.csv,0.18,0.5,0.88,0.17,0.35,0.3,0.48,0.26,0.29,0.15,0.3,0.1,0.62,0.0,0.29,0.08,0.17,0.32,0.18
smbopensoft.csv,0.21,0.0,0.03,0.67,0.5,0.31,0.46,0.35,0.33,0.28,0.3,0.3,0.54,0.35,0.49,0.43,0.19,0.42,0.32
st-filteredstatistics.csv,0.45,0.0,0.91,0.57,0.75,0.51,0.57,0.52,0.69,0.52,0.3,0.71,0.0,0.77,0.74,0.31,0.43,0.74,0.48
thedata.csv,0.33,0.0,0.98,0.02,0.18,0.55,0.32,0.35,0.29,0.67,0.22,0.15,0.69,0.56,0.58,0.31,0.38,0.28,0.0
trackit.csv,0.44,0.0,0.05,0.43,0.5,0.45,0.17,0.0,0.24,0.65,0.35,0.28,0.15,0.47,0.62,0.53,0.64,0.56,0.65
wxstudio.csv,0.29,0.0,0.03,0.3,0.1,0.31,0.2,0.17,0.1,0.22,0.35,0.64,0.0,0.12,0.39,0.02,0.6,0.17,0.13
