,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.49,0.41,0.46,0.47,0.48,0.38
extprosys.csv,0.59,0.4,0.51,0.0,0.41,0.46
fluidium.csv,0.83,0.0,0.75,0.65,0.5,0.0
haphazard.csv,0.94,0.68,0.82,0.9,0.65,0.78
qcad2.csv,0.65,0.84,0.52,0.5,0.45,0.9
silvertree.csv,0.59,0.44,0.5,0.46,0.36,0.52
