,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.68,0.59,0.64,0.43,0.85,0.33,0.97,0.52,0.55,0.65,0.9,0.94,0.96
emono.csv,0.46,0.44,0.59,0.42,0.49,0.36,0.55,0.32,0.47,0.48,0.52,0.42,0.57
freedom-erp.csv,0.9,0.77,0.94,0.86,0.75,0.0,0.0,0.35,0.8,0.47,0.8,0.0,0.0
haggle.csv,0.41,0.5,0.48,0.5,0.5,0.92,0.57,0.92,0.95,0.67,0.43,0.64,0.57
jbpm.csv,0.83,0.75,0.86,0.8,0.92,0.0,0.75,0.95,0.0,0.73,0.0,0.67,0.0
jgossipforum.csv,0.53,0.87,0.77,0.51,0.47,0.86,0.96,0.8,0.95,0.75,0.47,0.36,0.52
joustsim.csv,0.5,0.52,0.52,0.41,0.43,0.89,0.48,0.64,0.6,0.69,0.42,0.38,0.47
log4net.csv,0.38,0.7,0.95,0.92,0.92,0.47,0.92,0.54,0.0,0.38,0.46,0.8,0.67
madman.csv,0.43,0.69,0.68,0.75,0.47,0.9,0.65,0.75,0.71,0.73,0.45,0.59,0.62
mediate.csv,0.47,0.65,0.66,0.54,0.59,0.44,0.66,0.48,0.5,0.65,0.9,0.58,0.96
pustefix.csv,0.58,0.69,0.59,0.69,0.65,0.86,0.52,0.55,0.88,0.8,0.44,0.53,0.54
synecdoche.csv,0.5,0.46,0.45,0.45,0.95,0.46,0.56,0.31,0.62,0.49,0.4,0.59,0.43
tmva.csv,0.47,0.43,0.49,0.52,0.52,0.4,0.52,0.31,0.55,0.52,0.42,0.63,0.55
