,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.45,0.9,0.56,0.93,0.81,0.97,0.8,0.74,0.61,0.85,0.89,0.64,0.82
emono.csv,0.89,0.93,0.7,0.98,0.79,0.75,0.79,0.94,0.83,1.0,0.65,0.81,0.54
freedom-erp.csv,0.76,0.71,0.68,0.96,0.97,1.0,1.0,0.41,1.0,0.76,0.88,1.0,1.0
haggle.csv,0.7,0.39,0.75,0.62,0.51,0.78,0.67,0.93,0.81,0.57,0.35,0.67,0.69
jbpm.csv,0.89,0.25,1.0,0.87,0.82,1.0,0.98,0.85,1.0,0.92,1.0,0.97,1.0
jgossipforum.csv,0.85,0.86,1.02,0.63,0.65,0.85,0.89,0.96,0.07,0.64,0.34,0.74,0.71
joustsim.csv,0.77,0.43,0.8,0.82,0.61,0.88,0.89,0.9,0.31,0.19,0.55,0.94,0.72
log4net.csv,0.58,0.76,0.12,0.88,0.92,0.6,0.86,0.68,1.0,0.41,0.33,0.86,0.66
madman.csv,0.82,0.74,0.45,0.91,0.66,0.92,0.79,0.97,0.6,0.57,0.24,0.75,0.82
mediate.csv,1.01,0.46,0.62,0.71,0.66,0.51,0.77,0.75,0.64,0.45,0.77,0.67,0.77
pustefix.csv,0.93,0.56,0.75,0.44,0.61,0.93,0.6,0.7,0.82,0.91,0.62,0.68,0.64
synecdoche.csv,0.57,0.68,0.59,0.71,0.85,0.67,0.54,0.81,0.74,0.79,0.9,0.43,0.98
tmva.csv,0.6,0.86,0.68,0.89,0.69,0.78,0.39,1.0,0.77,0.97,0.64,0.6,0.57
