,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.69,0.27,0.67,0.78,0.42,0.95,0.2,0.49,0.8,0.55,0.12,0.38,0.21
emono.csv,0.81,0.85,1.0,0.78,0.69,0.74,0.74,0.98,1.0,1.0,0.62,0.69,0.68
freedom-erp.csv,0.25,0.31,0.33,0.04,0.03,0.0,0.0,0.74,0.0,0.27,0.12,0.0,0.0
haggle.csv,0.5,0.73,0.33,0.57,0.68,0.23,0.35,0.07,0.2,0.45,0.88,0.38,0.34
jbpm.csv,0.12,0.79,0.0,0.13,0.18,0.0,0.02,0.15,0.0,0.09,0.0,0.03,0.0
jgossipforum.csv,0.31,0.17,0.0,0.57,0.38,0.18,0.12,0.04,1.0,0.36,0.75,0.52,0.31
joustsim.csv,0.44,0.87,0.33,0.96,0.58,0.13,0.6,0.25,1.0,0.82,0.88,0.69,0.59
log4net.csv,0.69,0.27,1.0,0.13,0.09,0.59,0.16,0.39,0.0,0.73,1.0,0.14,0.36
madman.csv,0.62,0.38,0.67,0.17,0.36,0.1,0.23,0.03,0.6,0.45,1.0,0.31,0.25
mediate.csv,0.44,0.79,0.67,0.43,0.7,0.79,0.33,0.55,0.8,0.64,0.25,0.41,0.24
pustefix.csv,0.19,0.48,0.33,0.61,0.45,0.08,0.63,0.42,0.2,0.09,0.75,0.45,0.55
synecdoche.csv,0.56,0.62,0.67,0.61,0.18,0.59,0.52,0.99,0.4,0.82,1.0,0.62,1.0
tmva.csv,0.81,0.9,0.67,0.48,0.41,0.67,0.75,1.0,0.6,0.64,0.88,0.48,0.69
