,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.47,0.11,0.06,0.37,0.48,0.7,0.33,0.52,0.06,0.2,0.11,0.48,0.32
emono.csv,0.31,0.2,0.06,0.36,0.66,0.65,0.74,0.74,0.05,0.27,0.26,0.49,0.71
freedom-erp.csv,0.31,0.24,0.11,0.07,0.05,0.0,0.0,0.75,0.0,0.21,0.15,0.0,0.0
haggle.csv,0.29,0.39,0.04,0.41,0.71,0.35,0.5,0.13,0.08,0.38,0.45,0.43,0.47
jbpm.csv,0.14,0.56,0.0,0.21,0.3,0.0,0.05,0.26,0.0,0.09,0.0,0.06,0.0
jgossipforum.csv,0.19,0.12,0.0,0.41,0.51,0.26,0.21,0.08,0.4,0.53,0.48,0.44,0.44
joustsim.csv,0.25,0.36,0.03,0.46,0.64,0.21,0.64,0.31,0.13,0.75,0.34,0.46,0.62
log4net.csv,0.38,0.19,0.27,0.17,0.16,0.61,0.26,0.49,0.0,0.43,0.5,0.24,0.5
madman.csv,0.28,0.18,0.09,0.16,0.5,0.16,0.36,0.06,0.06,0.38,0.57,0.35,0.35
mediate.csv,0.18,0.33,0.05,0.33,0.69,0.74,0.45,0.55,0.06,0.41,0.22,0.44,0.37
pustefix.csv,0.13,0.31,0.04,0.57,0.56,0.13,0.7,0.49,0.04,0.13,0.29,0.44,0.62
synecdoche.csv,0.38,0.21,0.06,0.38,0.27,0.59,0.65,0.77,0.04,0.27,0.27,0.64,0.8
tmva.csv,0.4,0.22,0.05,0.28,0.51,0.6,0.81,0.73,0.04,0.19,0.3,0.5,0.71
