,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.06,0.27,0.15,0.12,0.11,0.44,0.62,1.0,0.3,0.14
haphazard.csv,0.16,0.08,0.19,0.03,0.0,0.27,0.46,0.27,1.0,0.12
jicarilla.csv,0.0,0.34,0.99,0.0,0.15,0.14,0.14,0.08,0.23,0.15
ondex.csv,0.46,0.17,0.05,0.15,0.12,0.21,0.0,0.45,0.27,0.95
optalgtoolkit.csv,0.66,0.4,0.64,0.12,0.14,1.0,0.72,0.62,0.26,0.26
ossim.csv,0.0,0.0,0.0,0.93,0.0,0.0,0.05,0.0,0.0,0.0
projectts.csv,0.55,0.37,0.59,0.12,0.12,0.43,0.99,0.63,0.41,0.33
sabbu.csv,0.96,0.37,0.24,0.15,0.15,0.49,0.49,0.45,0.31,0.33
vxl.csv,0.25,0.93,0.5,0.05,0.07,0.1,0.65,0.3,0.25,0.15
zact.csv,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.23,0.0,0.0
