,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.81,0.0,0.93,0.97,0.93,0.9,0.8,0.88,0.39,0.95,0.89,0.85
dvt.csv,0.41,0.48,0.96,0.55,0.5,0.98,0.61,0.38,0.26,0.49,0.72,0.41
flylinkdc.csv,0.54,0.27,0.57,0.55,0.58,0.57,0.7,0.5,0.94,0.46,0.39,0.46
fulguro.csv,0.0,0.89,0.7,0.9,0.67,0.62,0.73,0.81,0.0,0.89,0.5,0.8
fw4spl.csv,0.55,0.71,0.69,0.7,0.9,0.63,0.62,0.46,0.92,0.96,0.89,0.59
ipfire-wall.csv,0.81,0.56,0.84,0.94,0.8,0.98,0.81,0.45,0.5,0.69,0.81,0.54
jruby.csv,0.42,0.26,0.53,0.7,0.0,0.93,0.0,0.0,0.33,0.59,0.45,0.0
ldview.csv,0.38,0.59,0.79,0.59,0.58,0.45,0.8,0.35,0.34,0.65,0.39,0.48
nuttx.csv,0.63,0.94,0.75,0.88,0.5,0.64,0.67,0.58,0.44,0.73,0.55,0.92
oorexx.csv,0.42,0.89,0.9,0.51,0.5,0.43,0.67,0.38,0.33,0.67,0.5,0.42
uclmda.csv,0.78,0.88,0.97,0.9,0.7,0.77,0.94,0.73,0.27,0.0,0.0,0.92
vdsf.csv,0.47,0.99,0.65,0.68,0.68,0.8,0.6,0.4,0.58,0.51,0.44,0.6
