,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.21,0.0,0.79,0.15,0.47,0.1,0.51,0.19,0.98,0.86,0.44,0.13
dvt.csv,0.32,0.11,0.83,0.48,0.35,0.22,0.35,0.33,0.98,0.86,0.5,0.1
flylinkdc.csv,0.5,0.08,0.82,0.29,0.42,0.11,0.26,0.46,0.81,0.87,0.58,0.14
fulguro.csv,0.0,0.07,0.79,0.15,0.67,0.12,0.18,0.31,0.0,0.86,0.56,0.2
fw4spl.csv,0.28,0.14,0.8,0.28,0.4,0.26,0.19,0.39,0.77,0.92,0.78,0.11
ipfire-wall.csv,0.48,0.17,0.84,0.35,0.4,0.16,0.1,0.64,0.0,0.91,0.5,0.12
jruby.csv,0.33,0.09,0.83,0.19,0.0,0.11,0.0,0.0,0.97,0.91,0.65,0.0
ldview.csv,0.26,0.16,0.76,0.2,0.62,0.16,0.0,0.37,0.96,0.88,0.61,0.16
nuttx.csv,0.49,0.25,0.88,0.12,0.44,0.24,0.0,0.32,0.98,0.79,0.75,0.08
oorexx.csv,0.3,0.15,0.7,0.28,0.42,0.18,0.28,0.33,0.96,0.85,0.8,0.11
uclmda.csv,0.15,0.0,0.88,0.6,0.3,0.15,0.44,0.18,1.0,1.0,0.0,0.08
vdsf.csv,0.21,0.21,0.78,0.29,0.38,0.08,0.16,0.38,0.95,0.86,0.58,0.21
