,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.18,0.22,0.47,0.28,0.97,0.31,0.07,0.19,0.24,0.33,0.32,0.48,0.64,0.58,0.36,0.34,0.21,0.39,0.26
autofac.csv,0.47,0.43,0.6,0.94,0.57,0.46,0.69,0.57,0.45,0.53,0.73,0.59,0.66,0.82,0.57,0.47,0.51,0.63,0.64
avisynth2.csv,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dsworkbench.csv,0.55,0.46,0.98,0.52,0.12,0.27,0.63,0.42,0.45,0.3,0.47,0.52,0.54,0.64,0.56,0.47,0.62,0.31,0.38
exist.csv,0.25,0.53,0.42,0.43,0.09,0.33,0.57,0.38,0.24,0.99,0.49,0.52,0.11,0.0,0.5,0.48,0.33,0.24,0.26
forester-atv.csv,0.01,0.97,0.22,0.09,0.02,0.06,0.0,0.19,0.06,0.2,0.21,0.18,0.02,0.0,0.11,0.17,0.15,0.0,0.1
freelords.csv,0.51,0.3,0.54,0.41,0.48,0.97,0.65,0.47,0.64,0.45,0.34,0.67,0.4,0.64,0.64,0.68,0.55,0.35,0.37
gephex.csv,0.49,0.46,0.65,0.39,0.77,0.24,0.66,0.49,0.29,0.49,0.58,0.55,0.53,0.36,0.51,0.46,0.5,0.98,0.6
google-collections.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
java-gnome.csv,0.31,0.14,0.19,0.36,0.61,0.28,0.28,0.17,0.39,0.36,0.32,0.27,0.98,0.66,0.19,0.0,0.34,0.6,0.22
jpaul.csv,0.26,0.57,0.6,0.36,0.27,0.24,1.0,0.28,0.12,0.34,0.38,0.46,0.67,0.0,0.28,0.33,0.28,0.13,0.26
neodatis-odb.csv,0.29,0.56,0.39,0.32,0.32,0.23,0.27,0.96,0.29,0.29,0.3,0.24,0.56,0.0,0.33,0.77,0.28,0.18,0.3
octet.csv,0.0,0.66,0.42,0.35,0.12,0.34,0.33,0.31,0.34,0.45,0.25,0.12,0.37,0.0,0.44,0.75,0.33,0.34,0.19
personalaccess.csv,0.62,0.5,0.53,0.63,0.29,0.66,0.63,0.53,0.67,0.61,0.7,0.65,0.68,0.36,0.99,0.58,0.61,0.32,0.51
pokenetonline.csv,0.68,0.6,0.52,0.52,0.41,0.47,0.64,0.46,0.71,0.58,0.73,0.98,0.26,0.73,0.64,0.41,0.73,0.61,0.54
rcp-company-uibindings.csv,0.82,0.0,0.24,0.13,0.0,0.71,0.47,0.13,0.23,0.0,0.44,0.0,0.65,0.09,0.68,0.17,0.55,0.0,1.0
scenemonitor.csv,0.0,0.59,0.69,0.54,0.4,0.37,0.61,0.51,0.88,0.54,0.61,0.51,0.72,0.65,0.63,0.59,0.64,0.56,0.59
servicestack.csv,0.07,0.62,0.37,0.54,0.32,0.33,0.45,0.48,0.4,0.33,0.37,0.47,0.21,0.37,0.45,0.44,1.0,0.44,0.31
st-filteredstatistics.csv,0.52,0.6,0.64,0.63,0.47,0.54,0.76,0.56,0.8,0.55,0.98,0.57,0.61,0.68,0.64,0.66,0.39,0.52,0.58
