,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.92,0.93,0.78,0.76,0.63,0.75,0.8,0.94,0.75,0.8,0.69,0.62,0.53,0.56,0.77,0.86,0.83,0.69,0.81
autofac.csv,0.5,0.36,0.4,0.56,0.54,0.58,0.54,0.49,0.73,0.42,0.34,0.39,0.41,0.44,0.44,0.53,0.62,0.41,0.45
avisynth2.csv,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
dsworkbench.csv,0.44,0.52,0.43,0.59,0.9,0.85,0.38,0.69,0.8,0.77,0.5,0.51,0.49,0.52,0.4,0.69,0.53,0.73,0.54
exist.csv,0.68,0.47,0.5,0.73,0.89,0.55,0.44,0.5,0.83,0.44,0.48,0.48,0.86,0.88,0.49,0.58,0.75,0.95,0.73
forester-atv.csv,0.0,0.56,0.89,0.5,0.5,0.8,0.0,0.89,0.5,0.97,0.88,0.9,0.5,0.5,0.92,0.0,0.5,0.0,0.95
freelords.csv,0.56,0.75,0.47,0.55,0.43,0.42,0.46,0.6,0.42,0.55,0.65,0.4,0.52,0.55,0.46,0.7,0.54,0.51,0.62
gephex.csv,0.42,0.36,0.41,0.62,0.52,0.74,0.55,0.47,0.73,0.51,0.46,0.56,0.47,0.68,0.45,0.52,0.52,0.49,0.5
google-collections.csv,0.39,0.35,0.36,0.32,0.44,0.38,0.45,0.4,0.31,0.34,0.29,0.33,0.38,0.4,0.37,0.45,0.41,0.35,0.39
java-gnome.csv,0.76,0.89,0.91,0.69,0.63,0.78,0.88,0.77,0.71,0.65,0.71,0.89,0.43,0.5,0.95,0.67,0.67,0.37,0.96
jpaul.csv,0.61,0.46,0.38,0.8,0.94,0.74,0.65,0.62,0.8,0.61,0.62,0.51,0.39,0.8,0.65,0.7,0.78,0.88,0.7
neodatis-odb.csv,0.95,0.68,0.67,0.83,0.96,0.96,0.95,0.8,0.88,0.79,0.91,0.88,0.58,0.86,0.84,0.76,0.95,0.93,0.97
octet.csv,0.55,0.4,0.65,0.8,0.93,0.71,0.73,0.87,0.8,0.67,0.89,0.9,0.87,0.93,0.68,0.8,0.88,0.89,0.97
personalaccess.csv,0.35,0.42,0.39,0.41,0.94,0.38,0.36,0.48,0.38,0.38,0.33,0.35,0.39,0.54,0.39,0.52,0.5,0.73,0.37
pokenetonline.csv,0.38,0.38,0.44,0.36,0.45,0.51,0.5,0.48,0.39,0.38,0.3,0.39,0.67,0.37,0.39,0.61,0.49,0.37,0.42
rcp-company-uibindings.csv,0.37,0.35,0.37,0.33,0.44,0.35,0.42,0.39,0.32,0.34,0.29,0.33,0.36,0.41,0.36,0.43,0.39,0.35,0.4
scenemonitor.csv,0.53,0.38,0.39,0.37,0.48,0.48,0.43,0.56,0.59,0.42,0.36,0.46,0.38,0.4,0.45,0.61,0.54,0.39,0.46
servicestack.csv,0.83,0.42,0.54,0.61,0.56,0.62,0.5,0.57,0.75,0.76,0.65,0.58,0.85,0.61,0.63,0.69,0.71,0.5,0.7
st-filteredstatistics.csv,0.43,0.37,0.39,0.44,0.47,0.45,0.4,0.42,0.34,0.43,0.34,0.41,0.29,0.56,0.36,0.37,0.58,0.38,0.38
