,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.42,0.44,0.0,0.53,0.2,0.13,0.83,0.25,1.0,1.0,0.73,0.33,0.6,0.5,0.54,0.33,1.0
botsnscouts.csv,0.31,0.24,0.4,0.12,0.31,0.27,1.0,0.42,0.97,0.25,0.7,0.62,0.28,0.65,0.39,0.68,0.83
cities3d.csv,0.37,0.39,0.0,1.0,0.46,0.31,0.42,0.35,0.98,0.16,1.0,0.37,0.21,0.7,0.36,0.86,0.71
dynalloy.csv,1.0,0.34,0.1,0.15,0.52,0.33,0.56,0.45,0.94,0.31,0.82,0.39,0.25,0.73,0.4,0.85,0.86
electric-core.csv,0.36,1.0,0.31,0.09,0.39,0.27,0.5,0.32,0.98,0.22,0.47,0.35,0.08,0.67,0.41,0.43,0.77
findbugs.csv,0.41,0.48,0.18,0.21,0.43,0.38,0.62,0.75,0.96,0.35,0.86,0.33,0.6,0.73,1.0,0.6,0.78
img-browse-sort.csv,0.39,0.41,0.0,0.18,0.43,0.37,0.69,0.83,1.0,0.13,0.66,0.38,1.0,0.88,0.55,0.73,0.69
jparsec.csv,0.41,0.22,0.27,0.09,0.38,0.29,0.51,0.39,0.98,0.26,0.54,1.0,0.21,0.69,0.4,0.98,0.75
moast.csv,0.36,0.21,0.25,0.09,0.38,0.3,0.51,0.35,0.98,0.2,0.54,0.44,0.24,0.69,0.33,1.0,0.79
mptvseries.csv,0.48,0.49,0.38,0.23,1.0,0.35,0.82,0.92,0.94,0.6,1.0,0.46,1.0,0.75,0.67,0.77,0.85
mvnforum.csv,0.41,0.33,0.0,0.03,0.5,0.95,0.4,0.35,1.0,0.0,0.6,0.57,1.0,0.0,0.83,0.14,1.0
nosleepsoftware.csv,0.23,0.34,1.0,0.17,0.4,0.23,0.83,0.47,0.98,0.4,0.45,0.5,0.2,0.85,0.43,0.62,0.75
ogre.csv,0.36,0.21,0.25,0.09,0.38,0.29,0.5,0.36,1.0,0.19,0.55,0.39,0.25,0.68,0.38,0.98,0.77
openfrag.csv,0.4,0.24,0.13,0.13,0.52,0.29,0.67,0.56,0.96,0.28,1.0,0.51,0.37,0.73,0.44,0.93,0.87
qdvdauthor.csv,0.39,0.2,0.3,0.09,0.37,0.3,0.67,0.42,0.98,0.19,0.58,0.4,0.28,1.0,0.34,0.99,0.83
sumatrapdf.csv,0.42,0.3,0.16,0.22,0.47,0.28,0.71,1.0,0.97,0.29,0.83,0.45,0.43,0.68,0.4,0.76,0.86
zxing.csv,0.28,0.26,0.26,0.09,0.48,0.34,0.61,0.46,0.98,0.15,0.64,0.49,0.31,0.78,0.32,0.82,1.0
