,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.85,0.98,0.0,0.93,0.8,0.65,0.83,0.75,0.92,0.93,0.87,0.89,0.8,0.5,0.75,0.83,0.5
botsnscouts.csv,0.57,0.48,0.8,0.43,0.69,0.91,0.44,0.44,0.67,0.54,0.7,0.65,0.34,0.57,0.46,0.82,0.5
cities3d.csv,0.44,0.99,0.9,0.97,0.54,0.37,0.45,0.59,0.64,0.47,0.86,0.44,0.39,0.38,0.55,0.49,0.53
dynalloy.csv,0.73,0.71,0.55,0.51,0.48,0.36,0.52,0.49,0.81,0.94,0.61,0.39,0.38,0.39,0.38,0.5,0.45
electric-core.csv,0.51,0.85,0.56,0.56,0.41,0.39,0.45,0.43,0.47,0.46,0.6,0.48,0.54,0.49,0.43,0.57,0.37
findbugs.csv,0.63,0.98,0.75,0.99,0.86,0.92,0.88,0.88,0.96,0.78,0.93,0.76,0.8,0.68,0.67,0.84,0.89
img-browse-sort.csv,0.66,0.74,0.0,0.98,0.64,0.74,0.69,0.83,0.96,0.74,0.78,0.74,0.82,0.88,0.7,0.8,0.94
jparsec.csv,0.4,0.38,0.46,0.35,0.35,0.36,0.38,0.51,0.48,0.38,0.49,0.59,0.41,0.41,0.4,0.5,0.45
moast.csv,0.41,0.36,0.43,0.35,0.35,0.33,0.33,0.35,0.44,0.39,0.44,0.38,0.31,0.39,0.36,0.43,0.33
mptvseries.csv,0.55,0.89,0.48,0.87,0.61,0.57,0.64,0.92,0.91,0.9,0.94,0.37,0.0,0.62,0.72,0.77,0.92
mvnforum.csv,0.97,0.98,0.75,0.97,0.5,0.74,0.8,0.87,0.92,0.5,0.8,0.78,0.0,0.0,0.83,0.93,0.8
nosleepsoftware.csv,0.92,0.74,0.79,0.94,0.8,0.69,0.83,0.82,0.6,0.6,0.91,0.88,0.8,0.69,0.52,0.68,0.92
ogre.csv,0.39,0.36,0.43,0.34,0.34,0.31,0.31,0.34,0.43,0.35,0.43,0.39,0.29,0.37,0.32,0.43,0.36
openfrag.csv,0.49,0.4,0.65,0.45,0.52,0.34,0.42,0.59,0.64,0.42,0.53,0.45,0.44,0.55,0.41,0.42,0.36
qdvdauthor.csv,0.65,0.59,0.52,0.43,0.46,0.39,0.73,0.45,0.56,0.9,0.57,0.56,0.48,0.46,0.48,0.49,0.46
sumatrapdf.csv,0.51,0.49,0.79,0.63,0.41,0.35,0.46,0.68,0.56,0.58,0.6,0.44,0.48,0.64,0.38,0.53,0.46
zxing.csv,0.55,0.6,0.43,0.42,0.65,0.37,0.52,0.61,0.55,0.48,0.52,0.54,0.36,0.39,0.38,0.5,0.41
