,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.65,0.61,0.54,0.44
k3b.csv,0.57,0.43,0.35,0.43
mp-rechnungs-und-kundenverwaltung.csv,0.64,0.83,0.67,0.9
thrust.csv,0.88,0.93,0.91,0.75
