,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.39,0.46,0.55,0.98
k3b.csv,0.48,0.98,0.62,0.51
mp-rechnungs-und-kundenverwaltung.csv,0.44,0.42,0.89,0.19
thrust.csv,0.95,0.23,0.11,0.09
