,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.92,0.75,0.69,0.44,0.5,0.38,0.5,0.56,0.58,0.45
bscwweasel.csv,0.95,0.75,0.86,0.8,0.89,0.95,0.0,0.75,0.92,0.5
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
fido.csv,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
japano.csv,0.52,0.49,0.49,0.33,0.49,0.4,0.48,0.31,0.4,0.45
joustsim.csv,0.94,0.86,0.76,0.86,0.5,0.95,0.9,0.59,0.74,0.53
log4net.csv,0.5,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.52,0.45,0.47,0.42,0.47,0.39,0.49,0.36,0.47,0.36
rcp-company-uibindings.csv,0.46,0.45,0.44,0.31,0.48,0.38,0.52,0.32,0.41,0.35
unbvision.csv,0.57,0.53,0.5,0.6,0.77,0.52,0.71,0.37,0.68,0.62
