,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.8,0.93,1.02,0.0,0.63,0.49,0.59,0.58,0.71,0.69
bscwweasel.csv,0.05,0.97,1.0,0.81,0.9,0.88,1.0,1.0,0.95,1.0
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
fido.csv,1.0,0.98,1.0,1.0,1.0,0.99,1.0,0.0,1.0,1.0
japano.csv,0.9,0.0,0.89,0.96,0.94,0.93,0.81,0.99,1.0,0.81
joustsim.csv,0.81,0.85,1.11,0.83,0.78,0.88,0.09,0.29,0.67,0.54
log4net.csv,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
personalaccess.csv,0.7,0.77,0.8,0.34,0.51,0.02,0.79,0.78,0.54,0.71
rcp-company-uibindings.csv,0.96,1.01,0.92,0.93,0.98,1.0,0.75,0.94,0.01,0.79
unbvision.csv,0.78,0.79,1.17,0.61,0.04,0.57,0.74,1.33,0.59,0.7
