,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.31,0.85,0.0,1.0,0.33,0.92,0.28,0.06,0.97,0.1
bscwweasel.csv,1.0,1.0,0.0,1.0,0.33,0.84,0.0,0.0,1.0,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fido.csv,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
japano.csv,0.09,1.0,0.03,0.5,0.27,0.83,0.17,0.04,0.96,0.11
joustsim.csv,0.24,0.95,0.0,0.43,0.23,0.81,1.0,0.12,0.97,0.13
log4net.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
personalaccess.csv,0.12,0.93,0.02,0.77,0.38,1.0,0.16,0.05,0.99,0.12
rcp-company-uibindings.csv,0.13,0.92,0.02,0.51,0.27,0.82,0.2,0.04,1.0,0.11
unbvision.csv,0.12,0.94,0.0,0.73,0.97,0.88,0.14,0.0,1.0,0.1
