,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.24,0.17,0.0,1.0,0.5,0.6,0.49,0.53,0.36,0.43
bscwweasel.csv,0.96,0.04,0.0,0.23,0.12,0.16,0.0,0.0,0.06,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fido.csv,0.0,0.02,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0
japano.csv,0.42,1.0,0.38,0.17,0.24,0.3,0.53,0.05,0.0,0.54
joustsim.csv,0.24,0.19,0.0,0.25,0.46,0.17,0.93,0.92,0.48,0.71
log4net.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.53,0.53,0.36,0.75,0.66,0.98,0.54,0.59,0.52,0.67
rcp-company-uibindings.csv,0.17,0.0,0.3,0.27,0.09,0.0,0.62,0.24,0.99,0.57
unbvision.csv,0.54,0.54,0.0,0.46,0.97,0.65,0.46,0.0,0.46,0.43
