,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.06,0.33,0.22,0.0,0.33,0.24,0.22,0.29,0.2,0.35
bscwweasel.csv,0.0,0.0,0.05,0.0,0.07,0.12,0.0,0.04,0.0,0.04
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fido.csv,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
japano.csv,0.78,0.0,0.89,0.96,0.94,0.92,0.8,0.99,1.0,0.81
joustsim.csv,0.09,0.11,0.47,0.3,0.56,0.16,0.0,0.29,0.4,0.5
log4net.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
personalaccess.csv,0.54,0.67,0.44,0.22,0.39,0.0,0.77,0.78,0.1,0.71
rcp-company-uibindings.csv,0.96,1.0,0.92,0.93,0.98,1.0,0.75,0.94,0.0,0.79
unbvision.csv,0.72,0.78,0.61,0.15,0.01,0.48,0.5,0.88,0.0,0.37
