,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.57,0.92,0.68,0.75,0.79,0.74,0.89,0.08,0.82,0.82,0.79,0.81,0.97,0.78,0.91,0.81,1.02
checker-framework.csv,0.59,0.93,0.82,0.76,0.91,1.0,0.57,0.71,0.15,1.0,0.81,0.77,0.84,1.0,1.0,0.72,0.67
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ctrlr.csv,1.0,1.0,1.0,1.0,0.91,1.0,0.94,1.01,1.0,1.0,0.95,1.0,1.0,0.14,0.88,1.0,1.0
fontforge.csv,0.9,0.6,0.61,0.67,0.59,0.63,0.67,0.59,0.65,0.0,0.88,0.57,0.88,0.85,0.61,0.78,0.7
gusanos.csv,0.53,0.68,0.82,0.62,0.47,0.59,0.77,0.72,0.52,0.93,0.86,0.68,0.7,0.76,0.03,0.7,0.69
jvcl.csv,0.98,1.0,0.12,0.61,1.0,1.0,1.0,0.93,0.95,1.0,0.97,0.95,0.97,1.0,1.0,0.89,1.01
kwave.csv,0.46,0.54,0.85,0.64,0.56,0.71,0.02,0.58,0.56,0.72,0.61,0.55,0.78,0.81,0.52,0.7,1.06
liferea.csv,0.59,0.59,0.83,0.66,0.56,0.08,0.72,0.63,0.46,0.64,0.72,0.5,0.7,0.91,0.73,0.55,0.49
lockss.csv,0.85,0.94,0.75,0.61,0.65,0.78,0.94,0.8,0.8,0.47,0.8,0.0,0.93,0.97,0.88,0.92,1.0
magicwars.csv,0.92,1.0,0.87,0.89,0.82,1.0,1.0,0.79,0.88,1.0,0.14,0.86,0.79,1.0,1.0,0.85,0.85
psrchive.csv,0.93,0.29,0.76,0.88,0.91,0.92,0.94,0.96,0.87,0.83,0.92,0.93,0.95,1.0,0.97,0.7,1.01
pydev.csv,0.6,0.72,0.68,1.01,0.56,0.78,0.78,0.7,0.5,0.99,0.8,0.64,0.74,0.95,0.8,0.03,0.4
sarasvati.csv,0.73,1.0,0.89,0.86,0.18,0.92,0.7,1.0,0.63,0.88,0.85,0.96,0.78,0.95,0.97,0.73,0.38
stuproa-cims.csv,0.78,0.63,0.91,0.73,0.59,1.0,0.89,0.77,0.31,0.9,0.77,0.88,0.05,0.67,1.0,0.64,0.79
thout.csv,0.07,0.78,0.74,0.88,0.79,0.94,0.79,0.66,0.94,0.81,0.8,0.82,0.8,0.9,0.85,0.76,0.52
zact.csv,1.0,1.0,1.0,0.29,1.0,1.0,1.0,0.96,1.0,1.0,0.99,0.72,0.78,1.0,1.0,0.83,1.0
