,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.32,0.77,0.67,0.23,0.74,0.41,0.86,0.0,0.8,0.81,0.7,0.8,0.97,0.75,0.62,0.8,0.21
checker-framework.csv,0.16,0.05,0.82,0.26,0.04,0.0,0.09,0.07,0.0,0.0,0.05,0.25,0.02,0.0,0.0,0.68,0.29
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
ctrlr.csv,0.0,0.09,0.0,0.06,0.0,0.07,0.0,0.13,0.07,0.0,0.39,0.01,0.01,0.0,0.0,0.01,0.0
fontforge.csv,0.64,0.59,0.34,0.66,0.47,0.59,0.23,0.51,0.61,0.0,0.77,0.4,0.7,0.85,0.41,0.62,0.67
gusanos.csv,0.46,0.57,0.44,0.61,0.43,0.36,0.59,0.55,0.25,0.32,0.86,0.58,0.57,0.27,0.0,0.59,0.69
jvcl.csv,0.01,0.0,0.0,0.21,0.08,0.0,0.0,0.17,0.43,0.0,0.01,0.02,0.1,0.0,0.0,0.03,0.13
kwave.csv,0.35,0.33,0.83,0.48,0.43,0.64,0.02,0.36,0.41,0.42,0.15,0.3,0.56,0.27,0.21,0.39,0.37
liferea.csv,0.23,0.32,0.83,0.33,0.12,0.02,0.21,0.32,0.25,0.52,0.25,0.29,0.25,0.14,0.14,0.36,0.44
lockss.csv,0.12,0.17,0.04,0.23,0.14,0.14,0.04,0.14,0.23,0.29,0.08,0.0,0.1,0.19,0.21,0.1,0.08
magicwars.csv,0.92,1.0,0.87,0.84,0.8,1.0,1.0,0.77,0.88,1.0,0.01,0.85,0.76,1.0,1.0,0.84,0.85
psrchive.csv,0.03,0.0,0.13,0.2,0.04,0.05,0.0,0.06,0.41,0.03,0.01,0.18,0.03,0.02,0.07,0.1,0.13
pydev.csv,0.19,0.07,0.28,0.14,0.14,0.14,0.2,0.45,0.2,0.26,0.03,0.33,0.27,0.03,0.24,0.0,0.35
sarasvati.csv,0.08,0.0,0.48,0.05,0.0,0.0,0.11,0.03,0.32,0.1,0.02,0.03,0.15,0.02,0.17,0.51,0.33
stuproa-cims.csv,0.73,0.56,0.91,0.6,0.23,1.0,0.89,0.74,0.27,0.9,0.67,0.88,0.01,0.63,1.0,0.61,0.79
thout.csv,0.0,0.65,0.72,0.88,0.74,0.82,0.7,0.61,0.91,0.19,0.74,0.82,0.73,0.9,0.83,0.65,0.52
zact.csv,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.33,0.48,0.0,0.0,0.64,0.0
