,werx.csv,plog4u.csv,fm-classic.csv,openxava.csv,vars-redux.csv,tcvp.csv,jcl.csv
fm-classic.csv,0.03,0.0,1.0,0.0,0.0,0.0,0.0
jcl.csv,0.0,0.0,0.0,0.21,0.0,0.0,0.96
openxava.csv,0.49,0.0,0.12,1.0,0.36,0.07,0.03
tcvp.csv,0.05,0.0,0.0,0.29,0.26,0.94,0.15
vars-redux.csv,0.3,0.0,0.11,0.34,1.0,0.2,0.2
werx.csv,1.0,0.02,0.06,0.19,0.6,0.2,0.21
