,werx.csv,plog4u.csv,fm-classic.csv,openxava.csv,vars-redux.csv,tcvp.csv,jcl.csv
fm-classic.csv,0.02,0.0,1.0,0.0,0.0,0.0,0.0
jcl.csv,0.0,0.0,0.0,0.12,0.0,0.0,0.93
openxava.csv,0.32,0.0,0.67,1.0,0.29,0.11,0.07
tcvp.csv,0.03,0.0,0.0,0.19,0.18,0.89,0.14
vars-redux.csv,0.18,0.0,0.33,0.5,1.0,0.33,0.5
werx.csv,1.0,1.0,0.67,0.62,1.0,1.0,0.93
