,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.57,0.03,0.62,0.07,0.0,0.14,0.1,0.24,0.25,0.08
fritzing.csv,0.5,0.37,0.27,0.3,0.2,0.43,0.02,0.2,0.44,0.25
jlinalg.csv,0.07,0.13,0.74,0.65,0.4,0.37,0.71,0.8,0.41,0.66
knowledge.csv,0.14,0.64,0.61,0.78,0.0,0.61,0.21,0.54,0.38,0.63
massiv.csv,0.0,0.04,0.17,0.0,0.0,0.03,0.0,0.24,0.0,0.0
multitude.csv,0.36,0.23,0.57,0.69,0.6,0.58,0.62,0.59,0.66,0.31
playerstage.csv,0.07,0.34,0.57,0.22,0.4,0.41,0.06,0.3,0.44,0.29
quarkplusplus.csv,0.57,0.51,0.64,0.28,0.0,0.25,0.08,0.8,0.31,0.29
rtrt-on-gpu.csv,0.07,0.88,0.47,0.78,0.4,0.6,0.17,0.17,0.53,0.56
superwaba.csv,0.14,0.24,0.42,0.2,0.2,0.48,0.33,0.67,0.16,0.22
