,net-snmp.csv,fontforge.csv,k3d.csv,patterntesting.csv,massiv.csv,t-2.csv,xreal.csv
fontforge.csv,0.44,0.74,0.14,0.55,0.01,0.16,0.03
k3d.csv,0.5,0.5,0.51,0.0,0.0,0.03,0.0
massiv.csv,0.0,0.0,0.38,0.43,0.2,0.04,0.0
net-snmp.csv,0.61,0.44,0.33,0.32,0.01,0.12,0.05
patterntesting.csv,0.45,0.45,0.16,0.67,0.01,0.12,0.03
t-2.csv,0.4,0.33,0.15,0.0,0.0,0.36,0.01
xreal.csv,0.42,0.47,0.12,0.1,0.0,0.04,0.62
