,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.65,0.44,0.58,1.0
neoengine.csv,0.97,0.49,0.55,0.45
omseek.csv,0.18,0.93,0.28,0.12
pcsx2.csv,0.65,0.57,0.99,0.46
