,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.49,0.56,0.41,0.4
neoengine.csv,0.58,0.7,0.59,0.57
omseek.csv,0.96,0.97,0.74,0.91
pcsx2.csv,0.47,0.57,0.48,0.55
