,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.39,0.45,0.5,0.52,0.5,0.53,0.45,0.21,0.35,0.04,0.7,0.96,0.59,0.86,0.07,0.54,0.0,0.71,0.66
badtrinity-zero.csv,0.69,1.0,0.4,0.62,0.18,0.47,0.35,0.08,0.45,0.08,0.5,0.7,0.36,0.8,0.14,0.42,0.83,0.75,0.71
boost.csv,0.51,0.47,0.42,0.6,0.2,0.52,0.48,0.08,0.55,0.07,0.85,0.69,0.46,0.9,0.13,0.46,1.0,0.68,0.72
critterding.csv,0.43,0.64,0.24,0.49,0.2,0.39,0.31,0.07,0.42,0.07,0.7,0.78,0.33,0.86,0.09,0.37,0.8,0.6,0.66
enzo.csv,0.39,0.45,0.37,0.48,0.22,0.46,0.31,0.08,0.37,0.07,0.79,0.71,0.38,0.92,0.1,0.4,0.74,0.61,0.68
etics.csv,0.68,0.62,0.56,0.76,0.27,0.67,0.47,0.13,0.57,0.09,0.88,0.94,0.46,0.91,0.08,0.77,1.0,0.82,0.74
fmri-dmt.csv,0.39,0.38,0.24,0.44,0.09,0.36,0.21,0.04,0.35,0.08,0.66,0.58,0.18,0.78,0.27,0.28,0.75,0.58,0.64
gusanos.csv,0.38,0.47,0.43,0.62,0.6,0.45,0.38,0.14,0.37,0.0,0.87,0.62,0.62,0.0,0.12,0.47,0.0,0.82,0.7
kftpgrabber.csv,0.82,0.56,0.67,0.66,0.25,0.57,0.5,0.5,0.52,0.07,0.86,1.0,0.64,0.9,0.06,0.7,0.0,0.83,0.67
kvs.csv,0.46,0.48,0.38,0.66,0.5,0.42,0.55,0.06,0.46,0.07,0.73,0.92,0.62,0.95,0.09,0.39,0.0,0.61,0.66
miranda.csv,0.33,0.0,0.5,0.66,0.18,0.5,0.42,0.08,0.38,0.14,0.0,0.68,0.47,0.0,0.25,0.44,0.75,1.0,0.81
modplug.csv,0.42,0.58,0.24,0.52,0.25,0.46,0.4,0.09,0.4,0.06,0.86,0.85,0.4,0.89,0.06,0.42,0.93,0.67,0.67
monetdb.csv,0.45,0.69,0.5,0.65,0.0,0.59,0.58,0.12,0.39,0.06,0.95,1.0,0.5,0.88,0.14,0.64,0.9,0.84,0.7
nativeclient.csv,0.45,0.48,0.41,0.58,0.31,0.54,0.39,0.1,0.46,0.07,0.82,0.93,0.51,0.89,0.11,0.46,0.88,0.76,0.73
ogrehg.csv,0.58,0.61,0.37,0.57,0.22,0.58,0.4,0.13,0.48,0.09,0.84,0.7,0.41,0.82,0.12,0.63,1.0,0.68,0.67
passwordsafe.csv,0.61,0.81,0.26,0.55,0.18,0.47,0.38,0.07,0.38,0.14,0.81,0.86,0.37,0.93,0.08,0.61,0.78,0.77,0.68
quarkplayer.csv,0.55,0.6,0.17,0.49,0.12,0.34,0.26,0.07,0.49,0.14,0.48,0.75,0.31,0.7,0.11,0.61,0.85,0.62,0.65
reactos-mirror.csv,0.62,0.52,0.24,0.56,0.18,0.42,0.44,0.1,0.5,0.08,0.7,0.79,0.42,0.79,0.1,0.51,0.75,0.66,0.66
sandiaportals.csv,0.46,0.49,0.24,0.58,0.2,0.49,0.42,0.13,0.47,0.08,0.71,0.94,0.36,0.67,0.1,0.65,0.91,0.76,0.71
