,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.64,0.11,0.54,0.3,0.35,0.5,0.95,0.4,0.39,0.63
gamestone.csv,0.47,1.0,0.43,0.34,0.34,0.3,0.09,0.3,0.5,0.25
gbif-providertoolkit.csv,0.09,0.0,0.16,0.25,0.96,0.39,0.05,0.11,0.12,0.15
heekscad.csv,0.98,0.37,0.7,0.53,0.3,0.63,0.51,0.29,0.36,0.78
igarden.csv,0.27,0.0,0.3,0.98,0.13,0.15,0.04,0.21,0.29,0.15
levent.csv,0.68,0.24,0.58,0.49,0.32,0.98,0.48,0.34,0.44,0.68
owlapi.csv,0.23,0.21,0.31,0.25,0.05,0.34,0.22,1.0,0.29,0.21
pnotepad.csv,0.81,0.31,0.63,0.46,0.31,0.74,0.5,0.29,0.35,0.99
quark.csv,0.38,0.0,0.42,0.21,0.11,0.0,0.05,0.06,1.0,0.29
xcsoar.csv,0.75,0.19,0.96,0.43,0.42,0.59,0.41,0.37,0.4,0.55
