,recall,precision,pf,cdom,bellwether
1,0.17,0.45999999999999996,0.29,6.0,madman.csv
9,0.905,0.905,0.33999999999999997,1.0,columba.csv
12,0.53,0.495,0.335,9.0,alsa.csv
26,0.52,0.375,0.23,4.0,poormans.csv
32,0.635,0.37,0.27,17.0,riff-evolve.csv
51,0.64,0.33999999999999997,0.25,16.0,umber.csv
23,0.9299999999999999,0.925,0.745,1.0,magicwars.csv
24,0.78,0.61,0.5,4.0,bigdata.csv
25,1.0,1.0,1.0,0.0,xmemcached.csv
