,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.4,0.24,0.49,0.09,0.19,0.35,0.04,0.91,0.02,0.04,0.3
ivatamasks.csv,0.78,0.69,0.6,0.98,0.56,0.32,0.57,0.62,0.3,0.68,0.58
java-gnome.csv,0.7,0.57,0.67,0.58,0.27,0.41,0.62,0.56,0.97,0.11,0.45
orc.csv,0.12,0.15,0.95,0.14,0.19,0.0,0.13,0.17,0.0,0.0,0.33
plato.csv,0.08,0.0,0.3,0.17,0.48,1.0,0.41,0.41,0.39,0.47,0.3
rodin-b-sharp.csv,0.0,0.49,0.36,0.21,0.05,0.24,0.97,0.25,0.78,0.0,0.23
tycho.csv,0.21,0.56,0.54,0.48,0.52,0.54,0.52,0.55,0.81,0.99,0.39
umber.csv,1.0,0.0,0.22,0.63,0.13,0.17,0.65,0.33,0.78,0.13,0.2
unicase.csv,0.81,0.84,0.72,0.48,0.43,0.64,0.65,0.6,0.43,0.04,0.98
vienna-add-in.csv,0.83,0.0,0.53,0.6,0.99,0.54,0.53,0.69,0.67,0.55,0.6
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.47,0.4,0.0,0.0
