,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.76,0.74,0.45,0.54,0.41,0.63,0.7,0.5,0.57,0.54
fritzing.csv,0.54,0.53,0.47,0.55,0.38,0.47,0.5,0.77,0.48,0.59
jlinalg.csv,0.47,0.71,0.53,0.44,0.49,0.56,0.39,0.43,0.63,0.54
knowledge.csv,0.44,0.41,0.45,0.38,0.43,0.52,0.86,0.45,0.5,0.44
massiv.csv,0.83,0.95,0.65,0.0,0.0,0.95,0.0,0.54,0.0,0.0
multitude.csv,0.42,0.56,0.42,0.35,0.38,0.4,0.38,0.36,0.41,0.43
playerstage.csv,0.54,0.47,0.44,0.51,0.39,0.58,0.75,0.55,0.5,0.57
quarkplusplus.csv,0.5,0.54,0.46,0.6,0.42,0.64,0.89,0.43,0.5,0.48
rtrt-on-gpu.csv,0.89,0.49,0.97,0.61,0.95,0.67,0.85,0.83,0.94,0.77
superwaba.csv,0.42,0.45,0.42,0.55,0.32,0.43,0.54,0.33,0.47,0.43
