,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,1.0,0.29,0.22,0.6,0.82,0.38,0.65,0.31,0.09,0.21,0.19,0.71
crisscross.csv,0.99,0.23,0.38,0.72,0.74,0.28,0.66,0.35,0.09,0.21,0.22,0.74
gabel.csv,1.0,0.5,0.22,0.89,1.0,0.54,0.84,0.33,0.29,0.14,0.2,0.8
jguard.csv,0.98,0.23,0.18,0.6,0.71,0.22,0.65,0.54,0.08,0.21,0.24,0.74
jitterbit.csv,1.0,0.0,0.17,0.84,0.85,0.57,0.58,0.39,0.09,0.21,0.15,0.78
mycila.csv,0.98,0.18,0.16,0.62,0.74,0.15,0.68,0.42,0.11,0.21,0.32,0.77
nova.csv,0.98,0.55,0.19,0.8,0.64,0.22,0.65,0.54,0.15,0.16,0.17,0.8
ontomorphtab.csv,0.99,0.23,0.17,0.85,0.71,0.24,0.62,0.38,0.13,0.22,0.21,0.73
tmva.csv,1.0,0.67,0.17,0.63,0.71,0.2,0.67,0.36,0.08,0.15,0.2,0.89
vienna-add-in.csv,0.98,0.32,0.19,0.65,0.61,0.33,0.79,0.32,0.03,0.22,0.16,0.76
vrjuggler.csv,1.0,0.12,0.06,0.54,0.68,0.28,0.68,0.32,0.0,0.34,0.21,0.61
wpdev.csv,1.0,0.24,0.17,0.66,0.66,0.28,0.66,0.34,0.08,0.2,0.19,0.73
