,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.6,0.23,0.32,0.19,0.25,0.61,0.32,0.52,0.28,0.41,0.0,0.5
blue-c.csv,0.37,0.41,0.41,0.45,0.5,0.41,0.37,0.04,0.65,0.29,0.37,0.3
cities3d.csv,1.0,0.57,0.77,0.57,0.72,0.82,0.0,0.68,0.83,0.57,0.17,0.57
dynalloy.csv,0.86,0.0,0.97,0.89,1.0,0.95,0.96,1.0,0.84,0.98,0.37,0.84
firebird.csv,0.26,0.56,0.03,0.3,0.29,0.5,0.37,0.24,0.53,0.39,0.7,0.27
hydrogen.csv,0.4,0.62,0.28,0.13,0.78,0.14,0.12,0.12,0.0,0.0,0.37,0.02
nosleepsoftware.csv,0.14,0.0,0.2,0.0,0.1,0.27,0.19,0.44,0.03,0.1,0.0,0.11
openmalaria.csv,0.43,0.57,0.57,0.38,0.32,0.27,0.71,0.4,0.48,0.02,0.9,0.41
popeye-chess.csv,0.34,0.32,0.33,0.4,0.16,0.05,0.39,0.2,0.65,0.2,0.7,0.14
qgo.csv,0.03,0.22,0.23,0.09,0.03,0.05,0.22,0.04,0.08,0.08,0.27,0.09
xmoto.csv,0.57,0.54,0.39,0.23,0.16,0.34,0.27,0.16,0.21,0.12,0.63,0.0
yield.csv,0.54,0.51,0.65,0.64,0.0,0.52,0.94,0.68,0.79,0.51,0.93,0.75
