,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.5,0.83,0.66,0.92,0.69,0.62,0.58,0.72,0.88,0.69,0.62,0.66
blue-c.csv,0.44,0.6,0.48,0.81,0.52,0.57,0.53,0.48,0.59,0.57,0.55,0.55
cities3d.csv,0.39,0.71,0.49,0.77,0.65,0.77,0.97,0.7,0.62,0.81,0.89,0.8
dynalloy.csv,0.37,0.71,0.41,0.41,0.45,0.57,0.34,0.43,0.51,0.4,0.48,0.45
firebird.csv,0.52,0.48,0.49,0.57,0.51,0.55,0.52,0.52,0.63,0.59,0.32,0.56
hydrogen.csv,0.55,0.49,0.59,0.9,0.52,0.65,0.83,0.88,0.81,0.5,0.48,0.83
nosleepsoftware.csv,0.87,0.0,0.75,0.71,0.89,0.92,0.99,0.92,0.67,0.9,0.0,0.9
openmalaria.csv,0.33,0.36,0.35,0.36,0.46,0.5,0.29,0.37,0.53,0.49,0.25,0.42
popeye-chess.csv,0.4,0.54,0.4,0.75,0.52,0.54,0.51,0.46,0.59,0.49,0.32,0.48
qgo.csv,0.42,0.66,0.49,0.67,0.87,0.47,0.77,0.8,0.85,0.91,0.53,0.62
xmoto.csv,0.49,0.47,0.43,0.65,0.61,0.53,0.63,0.57,0.58,0.76,0.38,0.56
yield.csv,0.35,0.41,0.37,0.35,0.54,0.55,0.35,0.49,0.56,0.5,0.3,0.45
