,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.57,0.42,0.51,0.22,0.44,0.66,0.63,0.52,0.42,0.45,1.0,0.52
blue-c.csv,0.5,0.58,0.57,0.0,0.65,0.81,0.74,0.99,0.68,0.65,0.46,0.53
cities3d.csv,0.0,0.41,0.53,0.48,0.44,0.4,0.93,0.47,0.45,0.35,0.22,0.44
dynalloy.csv,0.43,0.98,0.13,0.38,0.0,0.21,0.17,0.0,0.48,0.09,0.58,0.47
firebird.csv,0.68,0.64,0.96,0.48,0.55,0.77,0.68,0.6,0.54,0.58,0.58,0.46
hydrogen.csv,0.58,0.52,0.47,0.29,0.44,0.36,0.63,0.2,1.0,0.06,0.58,0.36
nosleepsoftware.csv,0.38,0.0,0.3,0.9,0.04,0.04,0.1,0.04,0.0,0.15,0.0,0.17
openmalaria.csv,0.76,0.56,0.65,0.62,0.63,0.74,0.62,0.58,0.69,1.0,0.3,0.67
popeye-chess.csv,0.61,0.51,0.6,0.07,0.6,0.94,0.7,0.66,0.68,0.63,0.58,0.57
qgo.csv,0.99,0.27,0.48,0.55,0.25,0.42,0.28,0.16,0.36,0.2,0.47,0.38
xmoto.csv,0.48,0.51,0.6,0.42,0.48,0.66,0.64,0.38,0.76,0.41,0.55,1.0
yield.csv,0.76,0.56,0.64,0.65,0.92,0.63,0.24,0.58,0.57,0.65,0.23,0.58
