,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.93,0.65,0.86,0.79,0.17,0.82,0.69,0.81,0.9,0.91,0.83,0.97,0.96,0.89,0.85,0.6
amygdala.csv,0.6,0.71,0.69,0.93,0.98,0.91,0.88,0.97,0.88,0.41,0.73,0.88,0.83,0.69,0.97,0.7
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.01,1.0,0.91,0.92,0.02
dspace-gsoc.csv,0.48,0.86,0.69,0.93,0.94,0.52,0.64,0.85,1.0,0.53,0.48,0.52,1.0,0.69,0.53,0.7
hydrate.csv,0.8,0.65,0.75,0.98,0.88,0.73,0.89,0.69,0.68,0.93,0.69,0.61,0.82,0.7,0.44,0.54
ivef-sdk.csv,0.67,0.64,0.77,0.0,1.04,0.96,0.82,1.0,0.81,0.98,0.86,1.0,1.09,0.88,1.0,0.63
jmri.csv,0.61,0.48,0.99,0.43,0.75,0.51,0.87,0.89,0.75,0.68,0.85,0.54,0.78,0.83,0.77,0.87
kdenlive.csv,0.44,0.64,0.7,1.0,0.93,0.47,0.68,0.57,0.66,0.64,0.79,0.64,0.46,0.68,0.69,0.54
motu.csv,0.47,0.83,0.81,0.17,0.91,0.81,0.79,0.43,1.0,0.67,0.61,0.63,1.01,0.77,0.56,0.83
plplot.csv,0.5,0.73,0.91,1.12,0.86,0.34,0.8,0.96,0.73,0.87,0.92,0.84,0.61,0.77,0.91,1.01
projectfactory.csv,0.94,0.72,0.69,0.95,0.83,0.56,0.85,0.51,0.57,0.81,0.81,0.47,0.79,0.84,0.53,0.37
runuomondains.csv,0.55,0.55,0.9,1.23,0.9,0.49,0.7,0.57,0.89,0.62,0.71,0.3,0.55,0.86,0.66,0.92
somap.csv,1.0,0.82,0.89,1.09,0.81,0.88,0.92,0.98,0.77,0.94,1.0,0.93,0.18,1.0,1.0,0.75
taverna.csv,0.8,0.72,0.4,1.05,0.64,0.63,0.7,0.86,0.63,0.8,0.75,0.55,0.72,0.94,0.76,0.84
tigermud.csv,0.84,0.85,0.64,1.0,0.96,0.9,1.01,1.0,0.87,0.95,0.89,0.59,0.59,0.54,0.8,1.03
wishmaster.csv,0.58,0.71,0.82,0.93,0.97,0.68,0.36,0.86,0.88,0.61,0.76,0.58,0.82,0.84,0.91,0.67
