,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.73,0.08,0.8,0.41,0.57
open-data-kit.csv,0.59,0.06,0.84,0.36,0.31
qtractor.csv,0.75,0.07,0.84,0.5,0.59
quarkplayer.csv,0.38,0.13,0.61,0.37,0.0
turbotrader-bos.csv,0.75,0.08,0.78,0.61,0.53
