,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.5,0.57,0.42,0.41,0.68
open-data-kit.csv,0.37,0.41,0.5,0.49,0.52
qtractor.csv,0.5,0.42,0.51,0.39,0.68
quarkplayer.csv,0.77,0.89,0.91,0.81,0.83
turbotrader-bos.csv,0.67,0.68,0.78,0.47,0.76
