,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.31,0.97,0.15,0.13,0.38,0.0,0.51,0.31,0.14,0.19,0.43,0.58,0.2,0.21
calcubetimer.csv,0.57,0.3,0.52,0.16,0.43,0.19,1.0,0.74,0.33,0.1,0.63,0.82,0.08,0.8
chaosrts.csv,0.56,0.37,0.53,0.16,0.48,0.11,0.76,0.68,0.47,0.12,0.67,0.99,0.17,0.77
chaperon.csv,0.29,0.12,0.24,0.0,0.16,1.0,0.16,0.0,0.28,0.0,0.13,0.12,0.27,0.32
dxengine.csv,0.58,0.07,0.94,0.53,0.44,0.12,0.22,0.25,0.34,0.27,0.41,0.31,0.13,0.38
emono.csv,0.58,0.19,0.47,0.12,0.4,0.26,0.75,0.5,0.36,0.06,0.48,0.82,0.04,0.99
factor.csv,0.0,0.0,0.0,0.24,0.09,0.0,0.28,0.05,0.09,0.0,0.0,0.19,0.99,0.02
jas.csv,0.55,0.14,0.48,0.58,0.16,0.17,0.67,0.27,0.44,0.93,0.17,0.21,0.19,0.44
jmoney.csv,0.97,0.36,0.13,0.19,0.18,0.33,0.42,0.59,0.23,0.11,0.05,0.42,0.09,0.2
jmonkeyengine.csv,0.23,0.2,0.58,0.45,1.0,0.0,0.6,0.14,0.57,0.04,0.24,0.38,0.54,0.5
matrex.csv,0.44,0.3,0.24,0.19,0.35,0.4,0.38,0.97,0.15,0.0,0.05,0.59,0.0,0.22
primefaces.csv,0.15,0.32,0.5,0.17,0.47,0.1,0.41,0.3,0.21,0.09,0.99,0.64,0.08,0.73
roolo.csv,0.63,0.39,0.0,0.26,0.31,0.0,0.42,0.5,1.0,0.09,0.25,0.39,0.05,0.21
sblim.csv,0.26,0.0,0.0,0.9,0.0,0.0,0.16,0.03,0.09,0.0,0.09,0.1,0.59,0.23
