,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.24,0.95,0.13,0.17,0.43,0.0,0.39,0.25,0.12,0.43,0.34,0.46,0.14,0.15
calcubetimer.csv,0.68,0.51,0.64,0.29,0.53,0.68,1.0,0.73,0.42,0.48,0.56,0.5,0.06,0.66
chaosrts.csv,0.61,0.64,0.3,0.32,0.69,0.48,0.0,0.68,0.57,0.56,0.63,0.97,0.14,0.09
chaperon.csv,0.24,0.07,0.18,0.0,0.13,1.0,0.11,0.0,0.24,0.0,0.1,0.07,0.2,0.24
dxengine.csv,0.59,0.07,0.94,0.75,0.48,0.29,0.15,0.18,0.29,0.43,0.34,0.22,0.09,0.3
emono.csv,0.69,0.28,0.57,0.21,0.59,0.73,0.59,0.49,0.42,0.35,0.43,0.5,0.02,1.0
factor.csv,0.0,0.0,0.0,0.21,0.07,0.0,0.19,0.04,0.06,0.0,0.0,0.13,0.99,0.01
jas.csv,0.65,0.14,0.52,0.7,0.13,0.29,0.55,0.21,0.48,0.9,0.12,0.14,0.14,0.37
jmoney.csv,0.96,0.29,0.09,0.17,0.2,0.55,0.32,0.47,0.18,0.15,0.02,0.31,0.06,0.13
jmonkeyengine.csv,0.23,0.29,0.68,0.67,1.0,0.0,0.39,0.1,0.66,0.14,0.18,0.28,0.47,0.43
matrex.csv,0.49,0.29,0.22,0.17,0.37,0.29,0.27,0.97,0.12,0.0,0.02,0.47,0.0,0.17
primefaces.csv,0.21,0.57,0.24,0.3,0.67,0.42,0.27,0.3,0.27,0.46,0.98,0.52,0.06,0.09
roolo.csv,0.6,0.48,0.0,0.27,0.32,0.0,0.31,0.43,1.0,0.4,0.18,0.29,0.02,0.15
sblim.csv,0.18,0.0,0.0,0.88,0.0,0.0,0.11,0.01,0.06,0.0,0.06,0.06,0.51,0.17
