,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.5,0.26,0.38,0.0,0.0,0.12,0.55,0.78,0.22,0.48
aubit4gl.csv,0.4,0.25,0.26,0.25,0.68,0.05,0.89,0.62,0.51,0.29
liferea.csv,0.36,0.04,0.2,0.43,0.46,0.24,0.5,0.77,0.24,0.13
moving-pictures.csv,0.38,0.18,0.17,0.15,0.0,0.12,0.67,0.77,0.8,0.33
opensim4opencog.csv,0.47,0.06,0.28,0.41,0.56,0.23,0.62,0.85,0.63,0.25
plearn.csv,0.41,0.06,0.23,0.0,0.33,0.17,0.38,1.0,0.22,0.17
psrchive.csv,0.4,0.33,0.38,0.21,0.56,0.12,0.56,0.68,0.51,0.25
re2c.csv,0.38,0.86,0.17,0.22,0.46,0.09,0.5,0.74,0.39,0.09
rebecca-aiml.csv,0.35,0.18,0.22,0.27,0.58,0.12,0.5,0.85,0.71,0.29
xfce.csv,0.42,0.04,0.21,0.31,0.49,0.14,0.5,0.79,0.33,0.19
