,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.52,0.58,0.02,0.51,0.74
elmo.csv,0.01,0.93,0.98,1.0,0.95
mscore.csv,0.56,0.5,0.67,0.57,0.02
tolven.csv,0.91,0.8,0.7,0.08,0.72
xbplayer.csv,1.01,0.02,0.72,0.46,0.69
