,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.4,0.4,0.46,0.37,0.8
elmo.csv,0.83,0.9,0.92,0.0,0.88
mscore.csv,0.38,0.44,0.58,0.38,0.47
tolven.csv,0.55,0.84,0.65,0.62,0.78
xbplayer.csv,0.7,0.63,0.82,0.45,0.6
