,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.38,0.22,0.32,0.52,0.23,0.2,0.43,0.57,0.53,0.42
empserver.csv,0.57,0.33,0.22,0.4,0.65,0.18,0.36,0.74,0.54,0.42
enlightenment.csv,0.79,0.37,0.23,0.68,0.69,0.15,0.36,0.78,0.62,0.84
ffigo.csv,0.56,0.35,0.15,0.01,0.0,0.0,0.33,0.78,0.34,0.0
ildjit.csv,0.57,0.6,0.22,0.31,0.32,0.0,0.35,0.42,0.58,0.22
jfreereport.csv,0.2,0.09,0.32,0.27,0.15,0.24,0.34,0.39,0.15,0.1
mplayer-ce.csv,0.59,0.24,0.24,0.52,0.69,0.16,0.36,0.68,0.59,0.7
psycle.csv,0.74,0.21,0.27,0.71,0.68,0.18,0.36,0.68,0.62,0.62
wikipediardware.csv,0.65,0.25,0.23,0.7,0.64,0.18,0.39,0.62,0.53,0.85
wxjs.csv,0.09,0.0,0.05,0.0,0.0,0.46,0.0,0.0,0.0,0.0
