,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.51,0.68,0.52,0.44,0.45,0.48,0.45,0.63,0.91,0.48,0.41,0.61
bigdata.csv,0.5,0.37,0.67,0.57,0.52,0.44,0.92,0.41,0.41,0.45,0.64,0.51
calcubetimer.csv,0.52,0.63,0.42,0.37,0.61,0.43,0.92,0.35,0.75,0.46,0.86,0.55
jas.csv,0.67,0.93,0.6,0.83,0.56,0.78,0.48,0.8,0.45,0.84,0.75,0.96
jbpm.csv,0.77,0.86,0.83,0.5,0.78,0.0,0.0,0.8,0.0,0.95,0.91,0.67
jgossipforum.csv,0.48,0.5,0.45,0.86,0.86,0.69,0.95,0.75,0.42,0.9,0.67,0.87
joustsim.csv,0.53,0.41,0.44,0.64,0.64,0.52,0.64,0.59,0.46,0.51,0.48,0.44
madman.csv,0.49,0.65,0.55,0.96,0.77,0.94,0.83,0.64,0.44,0.96,0.59,0.63
mule.csv,0.43,0.42,0.88,0.5,0.47,0.42,0.69,0.47,0.53,0.59,0.73,0.49
nunit.csv,0.52,0.9,0.91,0.57,0.55,0.62,0.66,0.88,0.74,0.62,0.5,0.6
piccolo2d.csv,0.37,0.64,0.57,0.47,0.63,0.38,0.0,0.41,0.42,0.66,0.83,0.81
sblim.csv,0.89,0.4,0.62,0.88,0.95,0.83,0.93,0.57,0.45,0.96,0.83,0.87
