,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.7,0.74,0.56,0.99
jajuk.csv,0.97,0.78,0.56,0.61
vapor.csv,0.07,0.0,0.84,0.1
zorannt.csv,0.4,0.91,0.56,0.95
