,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,salasaga.csv
ikvm.csv,0.0,0.0,72.0,3.0,1.0,61.0
mcmc-jags.csv,0.0,0.0,40.0,0.0,0.0,8.0
olap-navigator.csv,0.0,0.0,2.0,0.0,0.0,9.0
pidgin.csv,0.0,0.0,4.0,56.0,0.0,55.0
salasaga.csv,1.0,0.0,38.0,5.0,3.0,1.0
sepgsql.csv,0.0,2.0,7.0,0.0,0.0,6.0
