,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.54,0.07,0.35,0.12,0.9
chaperon.csv,0.41,0.32,0.32,0.67,0.49
mule.csv,0.72,0.17,0.29,0.13,0.71
springside.csv,0.75,0.67,0.34,0.19,0.79
swtfox.csv,0.32,0.42,0.59,0.12,0.24
