,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.29,0.35,0.32,1.0,0.23,0.5,0.42,0.5,0.3,0.56,0.6,0.31
gamestone.csv,0.9,0.12,0.1,0.2,0.12,0.39,0.31,0.0,0.16,0.22,0.24,0.24
geochat.csv,0.38,0.26,0.66,0.65,0.3,0.63,0.32,0.27,0.37,0.5,0.35,0.89
igarden.csv,0.43,0.92,0.24,0.55,0.6,0.55,0.42,0.4,0.36,0.67,0.44,0.31
ingex.csv,0.14,0.27,0.19,0.16,0.23,1.0,0.1,0.11,0.09,0.46,0.11,0.23
lphant.csv,0.28,0.62,0.53,0.29,0.42,0.58,0.36,0.93,0.6,0.62,0.6,0.33
nabu-library.csv,0.64,0.58,0.34,0.58,1.0,0.55,0.44,0.43,0.55,0.68,0.6,0.58
nebuladevice.csv,0.29,0.12,0.32,0.2,0.02,0.25,0.27,0.11,0.94,0.06,0.56,0.2
owlapi.csv,0.0,0.0,0.93,0.0,0.21,0.04,0.05,0.17,0.09,0.11,0.0,0.12
pi-qmc.csv,0.14,0.56,0.44,0.59,0.55,0.61,0.36,0.65,0.42,0.96,0.67,0.57
trinitycore.csv,0.28,0.39,0.58,0.49,0.41,0.55,0.18,0.06,0.24,0.27,0.91,0.27
twostep.csv,0.64,0.59,0.73,0.47,0.2,0.62,0.97,0.61,0.47,0.11,0.61,0.52
