,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.78,0.77,0.77,0.02,0.81,0.64,0.68,0.81,0.85,0.72,0.68,0.96
gamestone.csv,0.12,0.91,0.93,0.83,0.9,0.67,0.76,1.0,0.88,0.82,0.8,0.81
geochat.csv,0.89,0.85,0.52,0.58,0.97,0.61,0.91,0.79,0.74,0.79,0.73,0.13
igarden.csv,0.64,0.1,0.81,0.57,0.48,0.55,0.65,0.7,0.78,0.41,0.66,0.76
ingex.csv,0.89,0.78,0.84,0.87,0.94,0.02,0.92,0.93,0.94,0.6,0.91,0.83
lphant.csv,0.96,0.62,0.78,0.83,0.89,0.74,0.91,0.09,0.7,0.67,0.58,0.8
nabu-library.csv,0.65,0.76,0.85,0.74,0.01,0.78,0.84,0.87,0.79,0.58,0.74,0.75
nebuladevice.csv,0.75,0.9,0.73,0.85,0.98,0.8,0.77,0.95,0.07,0.95,0.65,0.84
owlapi.csv,1.0,1.0,0.08,1.0,1.05,0.97,0.96,0.86,0.93,0.91,1.0,0.9
pi-qmc.csv,0.94,0.61,0.65,0.53,0.54,0.66,0.7,0.55,0.76,0.05,0.59,0.62
trinitycore.csv,0.83,0.69,0.61,0.77,0.92,0.57,0.89,0.95,0.83,0.77,0.11,0.82
twostep.csv,0.7,0.73,0.61,0.86,0.98,0.73,0.04,0.61,0.82,0.91,0.69,0.8
