,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.46,0.61,0.62,0.33,0.23,0.09,0.0,0.43,0.7,0.1,0.0
avisynth2.csv,0.19,0.0,0.04,0.15,0.12,0.99,0.01,0.01,0.0,0.0,0.0
coot.csv,0.0,0.32,0.47,0.45,0.36,0.0,0.53,0.55,0.36,0.69,0.52
dsworkbench.csv,0.71,0.18,0.07,0.07,0.29,0.0,0.27,0.05,0.15,0.1,0.12
freelords.csv,0.68,0.51,0.58,0.7,0.65,0.52,0.58,0.56,0.56,0.66,0.55
gephex.csv,0.24,0.38,0.68,0.51,0.55,0.0,0.68,0.46,0.27,0.13,0.0
jas.csv,0.21,0.48,0.36,0.39,0.18,0.68,0.37,0.63,0.97,0.42,0.31
jpaul.csv,0.54,0.0,0.16,0.85,0.34,0.37,0.0,0.15,0.63,0.0,0.0
ngl.csv,0.24,0.37,0.59,0.6,0.6,0.67,0.38,0.64,0.66,0.68,0.41
scenemonitor.csv,0.65,0.42,0.48,0.52,0.71,0.0,0.18,0.42,0.14,0.18,0.09
synecdoche.csv,0.59,0.38,0.66,0.5,0.57,0.0,0.5,0.32,0.14,0.47,0.68
