,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.71,0.66,0.71,0.28,0.22,0.09,0.78,0.45,0.18,0.12,0.57
avisynth2.csv,0.27,0.0,0.05,0.19,0.17,0.75,0.03,0.02,0.0,0.0,0.0
coot.csv,0.0,0.36,0.61,0.45,0.45,0.0,0.6,0.58,0.06,0.7,0.46
dsworkbench.csv,0.79,0.26,0.12,0.11,0.37,0.0,0.36,0.07,0.1,0.12,0.15
freelords.csv,0.89,0.65,0.67,0.56,0.6,0.11,0.71,0.61,0.15,0.67,0.56
gephex.csv,0.86,0.65,0.79,0.42,0.47,0.0,0.72,0.49,0.05,0.64,0.55
jas.csv,0.28,0.5,0.44,0.34,0.19,0.18,0.43,0.64,0.48,0.43,0.27
jpaul.csv,0.64,0.0,0.22,0.7,0.39,0.13,0.0,0.21,0.2,0.0,0.0
ngl.csv,0.86,0.62,0.72,0.47,0.54,0.16,0.7,0.66,0.15,0.7,0.45
scenemonitor.csv,0.85,0.49,0.59,0.57,0.68,0.0,0.26,0.44,0.04,0.21,0.1
synecdoche.csv,0.72,0.46,0.81,0.41,0.49,0.0,0.57,0.36,0.04,0.54,0.66
